#relocalization reuslts: 
1403715529762142976 0.71191 2.09239 1.28288 0.10456 0.81406 -0.13215 0.55580
1403715530762142976 1.02113 2.37871 1.70864 0.08291 0.81417 -0.10423 0.56515
1403715531762142976 1.46015 2.76734 1.96470 0.01890 0.81873 -0.07273 0.56924
1403715532762142976 1.75797 2.86652 1.93827 0.01142 -0.80006 0.07855 -0.59464
1403715533762142976 1.39583 2.28428 1.90308 0.05565 0.78760 -0.21609 0.57437
1403715534762142976 0.59355 1.01603 1.94759 0.15106 0.79739 -0.22051 0.54104
1403715535762142976 0.29187 -0.29229 1.67436 0.20284 0.76003 -0.33259 0.52018
1403715536762142976 0.65829 -1.65726 1.53306 0.21443 0.79326 -0.18969 0.53737
1403715537762142976 1.21509 -1.50574 1.67230 0.14942 0.76715 -0.23334 0.57854
1403715538762142976 0.80761 -0.64179 1.74235 0.24659 0.71919 -0.32552 0.56214
1403715539762142976 -0.02886 0.31655 1.39362 0.37762 0.58618 -0.57953 0.42183
1403715540762142976 -0.86913 0.64634 1.66894 0.32975 0.62480 -0.59936 0.37637
1403715541762142976 -1.83058 -0.22489 1.81047 0.37612 0.61539 -0.58209 0.37551
1403715542762142976 -2.07941 -1.32839 1.91391 0.35108 0.65741 -0.44021 0.50078
1403715543762142976 -2.10417 -1.58296 1.78626 0.36307 0.64915 -0.43151 0.51047
1403715544762142976 -2.15152 -0.89055 1.32066 0.48071 0.46351 -0.65460 0.35438
1403715545762142976 -1.88868 0.22125 1.37262 0.47112 0.38949 -0.71763 0.33369
1403715546762142976 -1.83745 1.40011 1.47618 0.33307 0.66628 -0.49947 0.44235
1403715547762142976 -1.41897 2.14029 1.57177 0.11790 0.84921 -0.16374 0.48800
1403715548762142976 -0.03170 2.64066 1.51442 0.05656 0.82150 -0.06897 0.56318
1403715549762142976 1.21718 3.23865 1.35126 0.01249 -0.81113 0.08694 -0.57823
1403715550762142976 1.82017 2.82033 1.47283 0.19171 0.74092 -0.36677 0.52893
1403715551762142976 1.57786 1.58592 1.58155 0.39941 0.52307 -0.61508 0.43423
1403715552762142976 0.63500 0.98350 1.73852 0.59740 0.21502 -0.73457 0.23937
1403715553762142976 0.47525 1.99172 1.65752 0.63952 -0.12443 -0.75659 -0.05572
1403715554762142976 0.82793 3.20880 1.41791 0.54251 0.06316 -0.79722 -0.25720
1403715555762142976 0.69761 1.74972 1.50512 0.57322 -0.13806 -0.80762 -0.01091
