1403715528762142976,0.01678,0.01387,0.04480,0.03283,0.81722,-0.03677,0.57421
1403715528862142976,0.02446,0.02122,0.06754,0.03274,0.81531,-0.03554,0.57700
1403715528962142976,0.03177,0.03005,0.09147,0.02907,0.81627,-0.03207,0.57605
1403715529062142976,0.03959,0.04170,0.11649,0.02225,0.81956,-0.02543,0.57200
1403715529162142976,0.04764,0.05630,0.14801,0.00687,0.82163,-0.01300,0.56983
1403715529262142976,0.05645,0.07197,0.18591,-0.00909,0.82556,0.00399,0.56423
1403715529362142976,0.06707,0.08891,0.22315,-0.02251,0.82992,0.02371,0.55693
1403715529462142976,0.08156,0.10735,0.25353,-0.03160,0.83069,0.04070,0.55435
1403715529562142976,0.09929,0.12637,0.27484,-0.03415,0.83002,0.05007,0.55443
1403715529662142976,0.12063,0.14575,0.28846,-0.03066,0.82862,0.05335,0.55642
1403715529762142976,0.14308,0.16763,0.30283,-0.02978,0.82792,0.06027,0.55681
1403715529862142976,0.16497,0.19155,0.32088,-0.03281,0.82612,0.06418,0.55887
1403715529962142976,0.18697,0.21722,0.34372,-0.03727,0.82285,0.06553,0.56323
1403715530062142976,0.20666,0.24579,0.37303,-0.03917,0.81578,0.07232,0.57248
1403715530162142976,0.22540,0.27506,0.40442,-0.03577,0.81102,0.07929,0.57851
1403715530262142976,0.23848,0.30948,0.44438,-0.03277,0.81297,0.08609,0.57498
1403715530362142976,0.25079,0.34969,0.49712,-0.03248,0.81541,0.08615,0.57151
1403715530462142976,0.26541,0.39622,0.56004,-0.03754,0.81725,0.08097,0.56933
1403715530562142976,0.27324,0.44634,0.62525,-0.04674,0.81715,0.08495,0.56821
1403715530662142976,0.28128,0.49767,0.67948,-0.05372,0.81625,0.08883,0.56830
1403715530762142976,0.28593,0.55072,0.72233,-0.06294,0.81523,0.09528,0.56776
1403715530862142976,0.29575,0.60879,0.76247,-0.07204,0.81388,0.10486,0.56694
1403715530962142976,0.30442,0.66685,0.80092,-0.07860,0.81300,0.11608,0.56514
1403715531062142976,0.31624,0.72515,0.83480,-0.08230,0.81999,0.12366,0.55276
1403715531162142976,0.32907,0.78285,0.86467,-0.08541,0.83133,0.12866,0.53390
1403715531262142976,0.35351,0.84286,0.89080,-0.09942,0.83519,0.12125,0.52714
1403715531362142976,0.37985,0.90074,0.92177,-0.11457,0.82620,0.11559,0.53936
1403715531462142976,0.41320,0.95320,0.94881,-0.11933,0.81793,0.11512,0.55091
1403715531562142976,0.45027,1.00060,0.96229,-0.12026,0.81328,0.11576,0.55741
1403715531662142976,0.48529,1.04658,0.97012,-0.12527,0.81356,0.11559,0.55594
1403715531762142976,0.52545,1.08802,0.97118,-0.11778,0.81186,0.12066,0.55897
1403715531862142976,0.58267,1.10078,0.96938,-0.10976,0.80825,0.12688,0.56443
1403715531962142976,0.60431,1.15475,0.97672,-0.10383,0.79784,0.12838,0.57982
1403715532062142976,0.63921,1.18285,0.97724,-0.10031,0.79484,0.12946,0.58430
1403715532162142976,0.66886,1.20945,0.97771,-0.09725,0.79315,0.13088,0.58680
